Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Antibiotics,Symptoms
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,"Ceftriaxone, Cefotaxime, Meropenem, Ampicillin, Metronidazole.","vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
Alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,"Ceftriaxone, Cefotaxime, Meropenem, Ampicillin, Metronidazole.","yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
Alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,"Ceftriaxone, Cefotaxime, Meropenem, Amoxicillin-Clavulanate, Azithromycin.","vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,"Ceftriaxone, Metronidazole, Ciprofloxacin, Azithromycin, Amoxicillin.","vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,"Ceftriaxone, Metronidazole, Ciprofloxacin, Azithromycin, Amoxicillin.","vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,"Ceftriaxone, Metronidazole, Ciprofloxacin, Amoxicillin-Clavulanate, Azithromycin","vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload,,,,,,,,,,,,"Ceftriaxone, Metronidazole, Ciprofloxacin, Amoxicillin-Clavulanate, Azithromycin","vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,,,,,,,,,,,,"Ceftriaxone, Cefotaxime, Meropenem, Ampicillin, Metronidazole","vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,"Amoxicillin, Metronidazole, Ciprofloxacin, Ceftriaxone, Azithromycin","vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,"Ceftriaxone, Cefotaxime, Meropenem, Ampicillin, Metronidazole.","chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","chills, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","chills, vomiting, fatigue, weight_loss, cough, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide, Streptomycin","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin.","chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin.","continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin.","continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin.","continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin.","continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin","continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,,"Amoxicillin, Azithromycin, Cefuroxime, Clarithromycin, Levofloxacin.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"Amoxicillin, Azithromycin, Cefdinir, Clarithromycin, Cefuroxime","chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone.","chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone.","chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone.","fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone.","chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,chills,fatigue,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone.","chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone.","chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,chills,fatigue,cough,high_fever,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone","chills, fatigue, cough, high_fever, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone.","chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone.","chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Levofloxacin, Ceftriaxone","constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,,,,,,,,,,,,"Ciprofloxacin, Metronidazole, Amoxicillin, Azithromycin, Clindamycin","constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,,,,,,,,,,,,"Ciprofloxacin, Metronidazole, Amoxicillin, Azithromycin, Clindamycin","constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
Dimorphic hemmorhoids(piles),pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,,,,,,,,,,,,,"Ciprofloxacin, Metronidazole, Amoxicillin, Azithromycin, Clindamycin","pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
Dimorphic hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus,,,,,,,,,,,,,,"Ciprofloxacin, Metronidazole, Amoxicillin, Azithromycin, Clindamycin","constipation, pain_in_anal_region, bloody_stool, irritation_in_anus"
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus,,,,,,,,,,,,,,"Ciprofloxacin, Metronidazole, Amoxicillin, Azithromycin, Clindamycin","constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus"
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus,,,,,,,,,,,,,,"Ciprofloxacin, Metronidazole, Amoxicillin, Azithromycin, Clindamycin","constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus"
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,,,,,,,,,,,,,,"Metronidazole, Ciprofloxacin, Amoxicillin, Azithromycin, Clindamycin","constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool"
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,,,,,,,,,,,,"Metronidazole, Ciprofloxacin, Amoxicillin, Azithromycin, Clindamycin","constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,,,,,,,,,,,,"Ciprofloxacin, Metronidazole, Amoxicillin, Azithromycin, Clindamycin","constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
Heart attack,vomiting,breathlessness,sweating,chest_pain,,,,,,,,,,,,,,"Ciprofloxacin, Metronidazole, Amoxicillin, Azithromycin, Clindamycin","vomiting, breathlessness, sweating, chest_pain"
Heart attack,vomiting,breathlessness,sweating,chest_pain,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Clindamycin, Metronidazole","vomiting, breathlessness, sweating, chest_pain"
Heart attack,breathlessness,sweating,chest_pain,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Clindamycin, Metronidazole","breathlessness, sweating, chest_pain"
Heart attack,vomiting,sweating,chest_pain,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clindamycin, Metronidazole, Cefuroxime","vomiting, sweating, chest_pain"
Heart attack,vomiting,breathlessness,chest_pain,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Clindamycin, Metronidazole, Azithromycin","vomiting, breathlessness, chest_pain"
Heart attack,vomiting,breathlessness,sweating,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Metronidazole, Ciprofloxacin","vomiting, breathlessness, sweating"
Heart attack,vomiting,breathlessness,sweating,chest_pain,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Clindamycin, Metronidazole, Azithromycin","vomiting, breathlessness, sweating, chest_pain"
Heart attack,breathlessness,sweating,chest_pain,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Clindamycin, Metronidazole","breathlessness, sweating, chest_pain"
Heart attack,vomiting,sweating,chest_pain,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clindamycin, Metronidazole, Cefuroxime","vomiting, sweating, chest_pain"
Heart attack,vomiting,breathlessness,chest_pain,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Clindamycin, Metronidazole, Azithromycin","vomiting, breathlessness, chest_pain"
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,"Amoxicillin, Azithromycin, Cefuroxime, Metronidazole, Ciprofloxacin","fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Doxycycline, Metronidazole.","fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Varicose veins,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Doxycycline, Metronidazole.","cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Varicose veins,fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Metronidazole, Trimethoprim-sulfamethoxazole.","fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Varicose veins,fatigue,cramps,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Metronidazole, Trimethoprim-sulfamethoxazole.","fatigue, cramps, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Varicose veins,fatigue,cramps,bruising,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Metronidazole, Trimethoprim-sulfamethoxazole.","fatigue, cramps, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Varicose veins,fatigue,cramps,bruising,obesity,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Doxycycline, Metronidazole.","fatigue, cramps, bruising, obesity, swollen_blood_vessels, prominent_veins_on_calf"
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Metronidazole, Trimethoprim-sulfamethoxazole.","fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf"
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Metronidazole, Trimethoprim-sulfamethoxazole.","fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels"
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Metronidazole, Trimethoprim-sulfamethoxazole.","fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf"
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,"Amoxicillin, Cephalexin, Clindamycin, Metronidazole, Trimethoprim-sulfamethoxazole.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hypothyroidism,fatigue,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","fatigue, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hypothyroidism,fatigue,weight_gain,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","fatigue, weight_gain, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","fatigue, weight_gain, cold_hands_and_feets, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","fatigue, weight_gain, cold_hands_and_feets, mood_swings, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
